,X,Y,Class,Method
0,0.2810443447388945,0.6150247685212252,0,t-SNE
1,0.4417488015177595,0.4648261970641154,0,UMAP
2,0.5307026244075068,0.5099208645229211,0,PCA
3,0.8876053146237066,0.5444735041425454,1,t-SNE
4,0.7270780365218392,0.8102654540091561,1,UMAP
5,0.6763358085744189,0.6016552029357691,1,PCA
6,0.14381703498188436,0.5311766292085004,0,t-SNE
7,0.9973761768668177,0.5661199738467153,0,UMAP
8,0.6083132811893158,0.59599837789609,0,PCA
9,0.05609587879527672,0.6100934798861384,0,t-SNE
10,0.956233857917675,0.4017993170641947,0,UMAP
11,0.5206284329629062,0.6480569679167373,0,PCA
12,0.20811527803543128,0.34902685200850414,1,t-SNE
13,0.6106636411835291,0.41011644058721963,1,UMAP
14,0.7042869572616155,0.6561420605292221,1,PCA
15,0.5538403305464937,0.35893845736063373,1,t-SNE
16,0.2708135677098709,0.17796852287169412,1,UMAP
17,0.29867178826412166,0.43833237410911735,1,PCA
18,0.26678874016148824,0.33410530931188587,1,t-SNE
19,0.5629222143748158,0.36498519307416855,1,UMAP
20,0.6281629525431913,0.7968876215505327,1,PCA
21,0.2528327266648124,0.6813349582548079,0,t-SNE
22,0.12001367311651355,0.33015745637039445,0,UMAP
23,0.2845710694479031,0.41972037880122365,0,PCA
24,0.20695821332843783,0.5864541814015743,1,t-SNE
25,0.030894092014770752,0.38652192453260614,1,UMAP
26,0.28438892494907386,0.46391087381917334,1,PCA
27,0.39208378997311905,0.13743498078201077,0,t-SNE
28,0.5417411281365274,0.14560497696336086,0,UMAP
29,0.5075853896838393,0.667852553739918,0,PCA
30,0.817604371390656,0.069995459140831,1,t-SNE
31,0.1518541769861062,0.2666551892719678,1,UMAP
32,0.2541236775764008,0.4796443706893879,1,PCA
33,0.7334032596300838,0.5192875164411463,0,t-SNE
34,0.1740768294197211,0.7427049371721783,0,UMAP
35,0.5338043689709515,0.3407779871108776,0,PCA
36,0.45012331385030385,0.48753866942892155,0,t-SNE
37,0.09687416571228283,0.42516119222709986,0,UMAP
38,0.3060853921606034,0.4649640781125306,0,PCA
39,0.08551008282358141,0.5046136613827122,1,t-SNE
40,0.8696494973728717,0.5134744397701965,1,UMAP
41,0.802942715770258,0.38731260691786445,1,PCA
42,0.7855239297742489,0.35068356936275186,0,t-SNE
43,0.32404402552715716,0.8090539886580641,0,UMAP
44,0.47508110334389697,0.505109241998629,0,PCA
45,0.24218389088216896,0.8533880830563363,1,t-SNE
46,0.050878649100295104,0.7945615489064746,1,UMAP
47,0.42231618288237527,0.22040843276744915,1,PCA
48,0.10421883296259371,0.5824156720629255,1,t-SNE
49,0.9380844896739501,0.5469673502595578,1,UMAP
50,0.6789218950613183,0.5723273879557816,1,PCA
51,0.39023079537704836,0.26304451434470466,0,t-SNE
52,0.5560829894020953,0.18450970369524197,0,UMAP
53,0.38011083004839735,0.6003298668831905,0,PCA
54,0.18347453282824933,0.3245217263299528,1,t-SNE
55,0.5890245558716052,0.5346864839159893,1,UMAP
56,0.7997608219876949,0.5820323653822611,1,PCA
57,0.9797093925506782,0.4408094895368833,1,t-SNE
58,0.3946758565454055,0.7457606910396937,1,UMAP
59,0.7591274451424619,0.6851786713891592,1,PCA
60,0.7634046805105617,0.2930178844059987,1,t-SNE
61,0.38469490215556285,0.7320872572284138,1,UMAP
62,0.49798691106217746,0.6606827467210179,1,PCA
63,0.6958896388382361,0.7221005347869646,0,t-SNE
64,0.8118128605418737,0.7772068206570686,0,UMAP
65,0.47939370590904795,0.4522128806926557,0,PCA
